DATE,AMEPOP
2000-01-01,80.127
2001-01-01,80.057
2002-01-01,81.612
2003-01-01,81.453
2004-01-01,81.897
2005-01-01,81.757
2006-01-01,83.476
2007-01-01,85.232
2008-01-01,86.219
2009-01-01,87.214
2010-01-01,115.932
2011-01-01,117.451
2012-01-01,118.184
2013-01-01,120.232
2014-01-01,122.197
2015-01-01,123.212
2016-01-01,123.446
2017-01-01,123.833
2018-01-01,123.105
2019-01-01,123.779
2020-01-01,125.347
2021-01-01,126.44
2022-01-01,124.836
2023-01-01,125.156
