"Chapter" "Word"
1 "steady"
1 "purpose"
1 "a"
1 "point"
1 "on"
1 "which"
1 "the"
1 "soul"
1 "may"
1 "fix"
1 "its"
1 "intellectual"
1 "eye"
1 "this"
1 "expedition"
1 "has"
1 "been"
1 "the"
1 "favourite"
1 "dream"
1 "of"
1 "my"
1 "early"
1 "years"
1 "i"
1 "have"
1 "read"
1 "with"
1 "ardour"
1 "the"
1 "accounts"
1 "of"
1 "the"
1 "various"
1 "voyages"
1 "which"
1 "have"
1 "been"
1 "made"
1 "in"
1 "the"
1 "prospect"
1 "of"
1 "arriving"
1 "at"
1 "the"
1 "north"
1 "pacific"
1 "ocean"
1 "through"
1 "the"
1 "seas"
1 "which"
1 "surround"
1 "the"
1 "pole"
1 "you"
1 "may"
1 "remember"
1 "that"
1 "a"
1 "history"
1 "of"
1 "all"
1 "the"
1 "voyages"
1 "made"
1 "for"
1 "purposes"
1 "of"
1 "discovery"
1 "composed"
1 "the"
1 "whole"
1 "of"
1 "our"
1 "good"
1 "uncle"
1 "thomas"
1 "library"
1 "my"
1 "education"
1 "was"
1 "neglected"
1 "yet"
1 "i"
1 "was"
1 "passionately"
1 "fond"
1 "of"
1 "reading"
1 "these"
1 "volumes"
1 "were"
1 "my"
1 "study"
1 "day"
1 "and"
1 "night"
1 "and"
1 "my"
1 "familiarity"
1 "with"
1 "them"
1 "increased"
1 "that"
1 "regret"
1 "which"
1 "i"
1 "had"
1 "felt"
1 "as"
1 "a"
1 "child"
1 "on"
1 "learning"
1 "that"
1 "my"
1 "father"
1 "s"
1 "dying"
1 "injunction"
1 "had"
1 "forbidden"
1 "my"
1 "uncle"
1 "to"
1 "allow"
1 "me"
1 "to"
1 "embark"
1 "in"
1 "a"
1 "seafaring"
1 "life"
1 "these"
1 "visions"
1 "faded"
1 "when"
1 "i"
1 "perused"
1 "for"
1 "the"
1 "first"
1 "time"
1 "those"
1 "poets"
1 "whose"
1 "effusions"
1 "entranced"
1 "my"
1 "soul"
1 "and"
1 "lifted"
1 "it"
1 "to"
1 "heaven"
1 "i"
1 "also"
1 "became"
1 "a"
1 "poet"
1 "and"
1 "for"
1 "one"
1 "year"
1 "lived"
1 "in"
1 "a"
1 "paradise"
1 "of"
1 "my"
1 "own"
1 "creation"
1 "i"
1 "imagined"
1 "that"
1 "i"
1 "also"
1 "might"
1 "obtain"
1 "a"
1 "niche"
1 "in"
1 "the"
1 "temple"
1 "where"
1 "the"
1 "names"
1 "of"
1 "homer"
1 "and"
1 "shakespeare"
1 "are"
1 "consecrated"
1 "you"
1 "are"
1 "well"
1 "acquainted"
1 "with"
1 "my"
1 "failure"
1 "and"
1 "how"
1 "heavily"
1 "i"
1 "bore"
1 "the"
1 "disappointment"
1 "but"
1 "just"
1 "at"
1 "that"
1 "time"
1 "i"
1 "inherited"
1 "the"
1 "fortune"
1 "of"
1 "my"
1 "cousin"
1 "and"
1 "my"
1 "thoughts"
1 "were"
1 "turned"
1 "into"
1 "the"
1 "channel"
1 "of"
1 "their"
1 "earlier"
1 "bent"
1 "six"
1 "years"
1 "have"
1 "passed"
1 "since"
1 "i"
1 "resolved"
1 "on"
1 "my"
1 "present"
1 "undertaking"
1 "i"
1 "can"
1 "even"
1 "now"
1 "remember"
1 "the"
1 "hour"
1 "from"
1 "which"
1 "i"
1 "dedicated"
1 "myself"
1 "to"
1 "this"
1 "great"
1 "enterprise"
1 "i"
1 "commenced"
1 "by"
1 "inuring"
1 "my"
1 "body"
1 "to"
1 "hardship"
1 "i"
1 "accompanied"
1 "the"
1 "whale"
1 "fishers"
1 "on"
1 "several"
1 "expeditions"
1 "to"
1 "the"
1 "north"
1 "sea"
1 "i"
1 "voluntarily"
1 "endured"
1 "cold"
1 "famine"
1 "thirst"
1 "and"
1 "want"
1 "of"
1 "sleep"
1 "i"
1 "often"
1 "worked"
1 "harder"
1 "than"
1 "the"
1 "common"
1 "sailors"
1 "during"
1 "the"
1 "day"
1 "and"
1 "devoted"
1 "my"
1 "nights"
1 "to"
1 "the"
1 "study"
1 "of"
1 "mathematics"
1 "the"
1 "theory"
1 "of"
1 "medicine"
1 "and"
1 "those"
1 "branches"
1 "of"
1 "physical"
1 "science"
1 "from"
1 "which"
1 "a"
1 "naval"
1 "adventurer"
1 "might"
1 "derive"
1 "the"
1 "greatest"
1 "practical"
1 "advantage"
1 "twice"
1 "i"
1 "actually"
1 "hired"
1 "myself"
1 "as"
1 "an"
1 "under"
1 "mate"
1 "in"
1 "a"
1 "greenland"
1 "whaler"
1 "and"
1 "acquitted"
1 "myself"
1 "to"
1 "admiration"
1 "i"
1 "must"
1 "own"
1 "i"
1 "felt"
1 "a"
1 "little"
1 "proud"
1 "when"
1 "my"
1 "captain"
1 "offered"
1 "me"
1 "the"
1 "second"
1 "dignity"
1 "in"
1 "the"
1 "vessel"
1 "and"
1 "entreated"
1 "me"
1 "to"
1 "remain"
1 "with"
1 "the"
1 "greatest"
1 "earnestness"
1 "so"
1 "valuable"
1 "did"
1 "he"
1 "consider"
1 "my"
1 "services"
1 "and"
1 "now"
1 "dear"
1 "margaret"
1 "do"
1 "i"
1 "not"
1 "deserve"
1 "to"
1 "accomplish"
1 "some"
1 "great"
1 "purpose"
1 "my"
1 "life"
1 "might"
1 "have"
1 "been"
1 "passed"
1 "in"
1 "ease"
1 "and"
1 "luxury"
1 "but"
1 "i"
1 "preferred"
1 "glory"
1 "to"
1 "every"
1 "enticement"
1 "that"
1 "wealth"
1 "placed"
1 "in"
1 "my"
1 "path"
1 "oh"
1 "that"
1 "some"
1 "encouraging"
1 "voice"
1 "would"
1 "answer"
1 "in"
1 "the"
1 "affirmative"
1 "my"
1 "courage"
1 "and"
1 "my"
1 "resolution"
1 "is"
1 "firm"
1 "but"
1 "my"
1 "hopes"
1 "fluctuate"
1 "and"
1 "my"
1 "spirits"
1 "are"
1 "often"
1 "depressed"
1 "i"
1 "am"
1 "about"
1 "to"
1 "proceed"
1 "on"
1 "a"
1 "long"
1 "and"
1 "difficult"
1 "voyage"
1 "the"
1 "emergencies"
1 "of"
1 "which"
1 "will"
1 "demand"
1 "all"
1 "my"
1 "fortitude"
1 "i"
1 "am"
1 "required"
1 "not"
1 "only"
1 "to"
1 "raise"
1 "the"
1 "spirits"
1 "of"
1 "others"
1 "but"
1 "sometimes"
1 "to"
1 "sustain"
1 "my"
1 "own"
1 "when"
1 "theirs"
1 "are"
1 "failing"
1 "this"
1 "is"
1 "the"
1 "most"
1 "favourable"
1 "period"
1 "for"
1 "travelling"
1 "in"
1 "russia"
1 "they"
1 "fly"
1 "quickly"
1 "over"
1 "the"
1 "snow"
1 "in"
1 "their"
1 "sledges"
1 "the"
1 "motion"
1 "is"
1 "pleasant"
1 "and"
1 "in"
1 "my"
1 "opinion"
1 "far"
1 "more"
1 "agreeable"
1 "than"
1 "that"
1 "of"
1 "an"
1 "english"
1 "stagecoach"
1 "the"
1 "cold"
1 "is"
1 "not"
1 "excessive"
1 "if"
1 "you"
1 "are"
1 "wrapped"
1 "in"
1 "furs"
1 "a"
1 "dress"
1 "which"
1 "i"
1 "have"
1 "already"
1 "adopted"
1 "for"
1 "there"
1 "is"
1 "a"
1 "great"
1 "difference"
1 "between"
1 "walking"
1 "the"
1 "deck"
1 "and"
1 "remaining"
1 "seated"
1 "motionless"
1 "for"
1 "hours"
1 "when"
1 "no"
1 "exercise"
1 "prevents"
1 "the"
1 "blood"
1 "from"
1 "actually"
1 "freezing"
1 "in"
1 "your"
1 "veins"
1 "i"
1 "have"
1 "no"
1 "ambition"
1 "to"
1 "lose"
1 "my"
1 "life"
1 "on"
1 "the"
1 "post"
1 "road"
1 "between"
1 "st"
1 "petersburgh"
1 "and"
1 "archangel"
1 "i"
1 "shall"
1 "depart"
1 "for"
1 "the"
1 "latter"
1 "town"
1 "in"
1 "a"
1 "fortnight"
1 "or"
1 "three"
1 "weeks"
1 "and"
1 "my"
1 "intention"
1 "is"
1 "to"
1 "hire"
1 "a"
1 "ship"
1 "there"
1 "which"
1 "can"
1 "easily"
1 "be"
1 "done"
1 "by"
1 "paying"
1 "the"
1 "insurance"
1 "for"
1 "the"
1 "owner"
1 "and"
1 "to"
1 "engage"
1 "as"
1 "many"
1 "sailors"
1 "as"
1 "i"
1 "think"
1 "necessary"
1 "among"
1 "those"
1 "who"
1 "are"
1 "accustomed"
1 "to"
1 "the"
1 "whale"
1 "fishing"
1 "i"
1 "do"
1 "not"
1 "intend"
1 "to"
1 "sail"
1 "until"
1 "the"
1 "month"
1 "of"
1 "june"
1 "and"
1 "when"
1 "shall"
1 "i"
1 "return"
1 "ah"
1 "dear"
1 "sister"
1 "how"
1 "can"
1 "i"
1 "answer"
1 "this"
1 "question"
1 "if"
1 "i"
1 "succeed"
1 "many"
1 "many"
1 "months"
1 "perhaps"
1 "years"
1 "will"
1 "pass"
1 "before"
1 "you"
1 "and"
1 "i"
1 "may"
1 "meet"
1 "if"
1 "i"
1 "fail"
1 "you"
1 "will"
1 "see"
1 "me"
1 "again"
1 "soon"
1 "or"
1 "never"
1 "farewell"
